manuscript	status	language	material	period	site	composition_type	ir_images	ir_recto	ir_with_sqe_match	ir_with_etcbc_fragment	ir_single_text_fragment	ir_exact_link	sqe_editions	etcbc_scroll	etcbc_fragments	etcbc_preserved	etcbc_certain	etcbc_fragments_imaged	etcbc_preserved_imaged	etcbc_scrolls_via_images
4Q219	square	Hebrew	Parchment	Hasmonean	Qumran, Cave 4	Parabiblical Texts	9	9	2	2	2	2	152	4Q219	2	569	455	2	569	4Q219
4Q22	excluded: Paleo-Hebrew script	Hebrew	Parchment	Hasmonean	Qumran, Cave 4	Scripture	191	188	132	132	128	130	861	4Q22	43	6167	4843	32	5097	4Q22
4Q220	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Parabiblical Texts	0	0	0	0	0	0	153	4Q220	1	268	222	0	0	
4Q221	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Parabiblical Texts	22	22	21	21	20	21	154	4Q221	19	614	473	19	614	4Q221
4Q222	square	Hebrew	Parchment	Hasmonean	Qumran, Cave 4	Parabiblical Texts	6	6	6	6	6	6	155	4Q222	6	183	141	6	183	4Q222
4Q223	square	Hebrew	Papyrus	Hasmonean	Qumran, Cave 4	Parabiblical Texts	0	0	0	0	0	0			0	0	0	0	0	
4Q224	square	Hebrew	Papyrus	Hasmonean	Qumran, Cave 4	Parabiblical Texts	0	0	0	0	0	0			0	0	0	0	0	
4Q225	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Parabiblical Texts	5	5	4	4	3	4	157	4Q225	5	752	634	4	485	4Q225
4Q226	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Parabiblical Texts	15	15	14	14	14	14	158	4Q226	15	402	331	13	370	4Q226
4Q227	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Parabiblical Texts	2	2	2	2	2	2	159	4Q227	2	139	122	2	139	4Q227
4Q228	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Parabiblical Texts	8	7	8	8	8	8	160	4Q228	6	230	176	4	188	4Q228
4Q23	square	Hebrew	Parchment	Hasmonean	Qumran, Cave 4	Scripture	104	102	102	102	93	101	862	4Q23	70	3493	2619	68	3486	4Q23
4Q230	square	Hebrew	Parchment	Hellenistic-Roman	Qumran, Cave 4	Unidentified Text	12	12	0	0	0	0	1071	4Q230	13	191	148	0	0	
4Q234	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Scribal Exercise	1	1	0	0	0	0	161	4Q234	3	18	18	0	0	
4Q238	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Other	1	1	0	0	0	0	163	4Q238	1	46	40	0	0	
4Q24	square	Hebrew	Parchment	Hasmonean	Qumran, Cave 4	Scripture	25	24	24	23	12	22	863	4Q24	10	1961	1390	9	1661	4Q24
4Q242	square	Aramaic	Parchment	Hasmonean	Qumran, Cave 4	Other	3	3	2	2	2	2	164	4Q242	2	238	209	2	238	4Q242
4Q243	square	Aramaic	Parchment	Herodian	Qumran, Cave 4	Parabiblical Texts	38	38	38	38	36	38	165	4Q243	43	663	533	40	634	4Q243
4Q244	square	Aramaic	Parchment	Herodian	Qumran, Cave 4	Parabiblical Texts	16	16	15	15	15	15	166	4Q244	13	230	183	13	230	4Q244
4Q245	square	Aramaic	Parchment	Herodian	Qumran, Cave 4	Parabiblical Texts	5	5	4	4	3	4	167	4Q245	5	133	100	5	133	4Q245
4Q246	square	Aramaic	Parchment	Herodian	Qumran, Cave 4	Parabiblical Texts	1	1	0	0	0	0	168	4Q246	2	413	395	0	0	
4Q247	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Parabiblical Texts	1	1	0	0	0	0	169	4Q247	1	59	49	0	0	
4Q248	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Historical Texts	1	1	0	0	0	0	170	4Q248	1	144	112	0	0	
4Q249	excluded: Cryptic A script	Hebrew	Papyrus	Early Hellenistic	Qumran, Cave 4	Other	240	239	226	226	223	18	171	4Q249	16	219	127	211	901	4Q249,4Q249e,4Q249f,4Q249h,4Q249k,4Q249l,4Q249m,4Q249n,4Q249o,4Q249p,4Q249u,4Q249v,4Q249w,4Q249x,4Q249y,4Q249z
4Q25	square	Hebrew	Parchment	Hellenistic-Roman	Qumran, Cave 4	Scripture	12	12	10	10	9	10	864	4Q25	10	359	295	8	347	4Q25
4Q250	excluded: Cryptic A script	Hebrew	Papyrus	Early Hellenistic	Qumran, Cave 4	Poetical/Liturgical Texts	20	20	19	19	19	0	198	4Q250	1	37	28	13	42	4Q250a,4Q250b,4Q250c,4Q250h,4Q250j
4Q251	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Legal Texts	27	27	26	26	24	26	209	4Q251	24	975	798	24	975	4Q251
4Q252	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Exegetical Texts	7	7	6	6	6	6	210	4Q252	6	1807	1715	6	1807	4Q252
4Q253	square	Hebrew	Parchment		Qumran, Cave 4	Exegetical Texts	4	4	4	4	4	4	211	4Q253	3	96	85	3	96	4Q253
4Q254	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Exegetical Texts	17	17	17	17	17	17	213	4Q254	16	309	238	16	309	4Q254
4Q254a-820	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Exegetical Texts	3	3	3	3	3	3	214	4Q254a	2	139	120	2	139	4Q254a
4Q255	square	Hebrew	Papyrus	Hasmonean	Qumran, Cave 4	Sectarian Texts	10	0	10	10	10	10	215	4Q255	4	269	176	4	269	4Q255
4Q256	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Sectarian Texts	16	15	8	8	8	8	216	4Q256	9	880	698	2	143	4Q256
4Q257	square	Hebrew	Papyrus	Hasmonean	Qumran, Cave 4	Sectarian Texts	7	7	7	7	7	7	217	4Q257	7	452	309	4	329	4Q257
4Q258	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Sectarian Texts	13	13	12	12	12	11	218	4Q258	11	2323	2201	6	1012	4Q258
4Q259	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Sectarian Texts	21	21	17	17	17	17	219	4Q259	4	933	681	3	851	4Q259
4Q26	square	Hebrew	Parchment	Hellenistic-Roman	Qumran, Cave 4	Scripture	21	21	16	16	16	6	865	4Q26	4	333	195	14	767	4Q26,4Q26a,4Q26b
4Q260	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Sectarian Texts	6	6	6	6	6	6	220	4Q260	5	485	382	5	485	4Q260
4Q261	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Sectarian Texts	19	19	18	18	18	18	221	4Q261	9	255	124	9	255	4Q261
4Q262	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Sectarian Texts	3	3	3	3	3	3	222	4Q262	3	121	95	3	121	4Q262
4Q263	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Sectarian Texts	1	1	0	0	0	0	223	4Q263	1	59	41	0	0	
4Q264	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Sectarian Texts	1	1	1	1	1	1	224	4Q264	1	178	138	1	178	4Q264
4Q264a-110	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Legal Texts	4	4	3	3	3	3	225	4Q264a	2	192	165	2	192	4Q264a
4Q265	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Sectarian Texts	24	24	23	23	21	23	226	4Q265	23	1049	909	20	1017	4Q265
4Q266	square	Hebrew	Parchment	Hasmonean	Qumran, Cave 4	Sectarian Texts	181	180	178	172	172	171	227	4Q266	109	5504	4588	101	5125	4Q266
4Q267	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Sectarian Texts	40	40	38	38	33	38	228	4Q267	25	1294	903	24	1288	4Q267
4Q268	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Sectarian Texts	8	8	8	8	8	8	229	4Q268	3	335	271	3	335	4Q268
4Q269	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Sectarian Texts	13	13	13	13	11	13	230	4Q269	19	603	437	11	352	4Q269
4Q27	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Scripture	118	115	103	103	96	103	868	4Q27	52	5144	4093	45	4692	4Q27
4Q270	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Sectarian Texts	76	74	59	59	56	57	231	4Q270	23	2517	1957	22	2514	4Q270
4Q271	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Sectarian Texts	13	13	8	8	2	8	232	4Q271	7	1811	1592	5	1474	4Q271
4Q272	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Sectarian Texts	16	16	15	15	2	15	233	4Q272	4	425	345	4	425	4Q272
4Q273	square	Hebrew	Papyrus	Herodian	Qumran, Cave 4	Sectarian Texts	14	14	12	12	8	12	234	4Q273	10	268	190	10	268	4Q273
4Q274	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Legal Texts	6	6	0	0	0	0	235	4Q274	6	1122	987	0	0	
4Q275	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Sectarian Texts	3	3	3	3	3	3	236	4Q275	3	188	157	3	188	4Q275
4Q276	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Legal Texts	1	1	0	0	0	0	237	4Q276	1	146	119	0	0	
4Q277	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Legal Texts	5	5	4	4	1	4	238	4Q277	3	348	258	3	348	4Q277
4Q278	square	Hebrew	Parchment	Roman	Qumran, Cave 4	Legal Texts	1	1	0	0	0	0	239	4Q278	1	54	42	0	0	
4Q279	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Other	5	5	5	5	5	5	240	4Q279	5	139	115	5	139	4Q279
4Q28	square	Hebrew	Parchment	Hasmonean	Qumran, Cave 4	Scripture	0	0	0	0	0	0	869	4Q28	1	318	282	0	0	
4Q280	square	Hebrew	Parchment	Hasmonean	Qumran, Cave 4	Poetical/Liturgical Texts	3	3	3	3	3	3	241	4Q280	3	210	179	3	210	4Q280
4Q281	square	Hebrew	Parchment	Hasmonean	Qumran, Cave 4	Unidentified Text	7	7	7	0	0	0	242		0	0	0	0	0	
4Q282	square	Hebrew	Parchment	Hellenistic-Roman	Qumran, Cave 4	Unidentified Text	22	22	20	0	0	0	243		0	0	0	0	0	
4Q284	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Poetical/Liturgical Texts	0	0	0	0	0	0	244	4Q284	11	391	293	0	0	
4Q284a-679	square	Hebrew	Parchment	Hasmonean	Qumran, Cave 4	Legal Texts	4	4	4	4	4	4	245	4Q284a	4	197	169	4	197	4Q284a
4Q285	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Sectarian Texts	13	13	13	13	13	13	246	4Q285	10	537	408	10	537	4Q285
4Q286	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Poetical/Liturgical Texts	26	25	24	23	23	22	247	4Q286	23	1640	1365	19	606	4Q286
4Q287	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Poetical/Liturgical Texts	11	11	11	11	11	11	248	4Q287	10	560	486	10	560	4Q287
4Q288	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Poetical/Liturgical Texts	3	3	3	3	3	3	249	4Q288	3	91	78	3	91	4Q288
4Q289	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Poetical/Liturgical Texts	3	3	3	3	3	3	250	4Q289	3	122	96	3	122	4Q289
4Q29	square	Hebrew	Parchment	Hasmonean	Qumran, Cave 4	Scripture	7	7	5	5	4	5	870	4Q29	6	597	449	3	539	4Q29
4Q290	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Poetical/Liturgical Texts	1	1	1	1	1	1	251	4Q290	1	21	18	1	21	4Q290
4Q291	square	Hebrew	Parchment	Hasmonean	Qumran, Cave 4	Poetical/Liturgical Texts	4	4	3	3	3	3	252	4Q291	3	147	115	3	147	4Q291
4Q292	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Poetical/Liturgical Texts	2	2	2	2	2	2	253	4Q292	2	76	66	2	76	4Q292
4Q293	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Poetical/Liturgical Texts	1	1	1	1	1	1	254	4Q293	3	62	50	1	11	4Q293
4Q294	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Sectarian Texts	1	1	1	1	1	1	255	4Q294	1	20	15	1	20	4Q294
4Q298	excluded: Cryptic A script	Hebrew	Parchment	Herodian	Qumran, Cave 4	Sapiential Texts	11	11	7	7	3	7	256	4Q298	10	435	352	9	431	4Q298
4Q299	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Sapiential Texts	95	95	95	95	93	95	257	4Q299	109	2822	2222	97	1990	4Q299
4Q3	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Scripture	3	2	0	0	0	0	840	4Q3	2	392	349	0	0	
4Q30	square	Hebrew	Parchment	Hasmonean	Qumran, Cave 4	Scripture	66	66	62	62	56	62	871	4Q30	50	1755	1409	45	1461	4Q30
4Q300	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Sapiential Texts	16	16	15	15	13	15	258	4Q300	16	737	622	16	737	4Q300
4Q301	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Sapiential Texts	12	12	12	12	12	12	259	4Q301	11	602	512	11	602	4Q301
4Q302	square	Hebrew	Papyrus	Herodian	Qumran, Cave 4	Sapiential Texts?	18	18	18	18	17	18	260	4Q302	29	581	457	19	263	4Q302
4Q303	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Sapiential Texts	2	2	0	0	0	0	261	4Q303	1	142	136	0	0	
4Q304	square	Hebrew	Parchment	Hasmonean	Qumran, Cave 4	Sapiential Texts	1	1	0	0	0	0	262	4Q304	1	22	22	0	0	
4Q305	square	Hebrew	Parchment	Hellenistic-Roman	Qumran, Cave 4	Sapiential Texts	1	1	0	0	0	0	263	4Q305	2	34	28	0	0	
4Q306	square	Hebrew	Parchment	Hasmonean	Qumran, Cave 4	Other	4	4	3	3	3	3	264	4Q306	3	216	183	3	216	4Q306
4Q307	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Other	7	7	7	7	7	7	265	4Q307	9	126	118	7	112	4Q307
4Q31	square	Hebrew	Parchment	Hasmonean	Qumran, Cave 4	Scripture	1	1	1	1	1	1	872	4Q31	2	843	710	1	218	4Q31
4Q313	excluded: Cryptic A script	Hebrew	Parchment	Hellenistic-Roman	Qumran, Cave 4	Unidentified Text	3	3	3	3	3	3	266	4Q313	2	16	7	2	16	4Q313
4Q317	excluded: Cryptic A script	Hebrew	Parchment	Hellenistic-Roman	Qumran, Cave 4	Calendrical Texts	76	76	64	64	59	64	269	4Q317	72	1375	1010	68	1029	4Q317
4Q318	square	Aramaic	Parchment	Herodian	Qumran, Cave 4	Calendrical Texts	5	5	4	4	3	4	270	4Q318	8	321	292	5	9	4Q318
4Q319	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Calendrical Texts	34	34	26	26	23	26	271	4Q319	58	1296	1034	29	1101	4Q319
4Q32	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Scripture	9	9	9	9	5	9	873	4Q32	7	415	319	7	415	4Q32
4Q320	square	Hebrew	Parchment	Hasmonean	Qumran, Cave 4	Calendrical Texts	3	3	3	3	1	3	272	4Q320	18	1029	872	5	443	4Q320
4Q321	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Calendrical Texts	19	16	19	19	19	17	273	4Q321	7	1617	1240	2	470	4Q321
4Q321a-190	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Calendrical Texts	7	7	7	7	7	7	274	4Q321a	5	348	290	1	182	4Q321a
4Q322	square	Hebrew	Parchment		Qumran, Cave 4	Historical Texts	5	5	2	2	2	0	275	4Q322	2	65	44	2	65	4Q322
4Q323	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Calendrical Texts	1	1	0	0	0	0	277	4Q323	1	40	30	0	0	
4Q324	excluded: language ''		Parchment	Herodian	Qumran, Cave 4	Other	83	83	46	46	45	5	278	4Q324	2	99	86	30	246	4Q324,4Q324b,4Q324c,4Q324d,4Q324h,4Q324i
4Q325	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Calendrical Texts	2	2	2	2	2	2	288	4Q325	3	252	226	2	69	4Q325
4Q326	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Calendrical Texts	1	1	0	0	0	0	289	4Q326	1	48	39	0	0	
4Q328	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Calendrical Texts	1	1	0	0	0	0	290	4Q328	1	88	81	0	0	
4Q329	square	Hebrew	Parchment		Qumran, Cave 4	Calendrical Texts	2	2	2	2	2	1	291	4Q329	2	90	69	2	114	4Q329,4Q329a
4Q33	square	Hebrew	Parchment	Hasmonean	Qumran, Cave 4	Scripture	40	40	37	37	36	37	874	4Q33	22	1205	930	18	1176	4Q33
4Q330	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Calendrical Texts	4	4	0	0	0	0	293	4Q330	4	77	60	0	0	
4Q331	square	Hebrew	Papyrus	Hasmonean	Qumran, Cave 4	Historical Texts	0	0	0	0	0	0	294	4Q331	11	91	64	0	0	
4Q332	square	Hebrew	Parchment		Qumran, Cave 4	Other	4	4	3	3	3	0	295	4Q332	3	148	106	3	148	4Q332
4Q333	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Historical Texts	0	0	0	0	0	0	297	4Q333	2	56	45	0	0	
4Q334	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Calendrical Texts	7	7	6	3	2	3	298	4Q334	6	138	97	4	27	4Q334
4Q337	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Calendrical Texts	1	1	0	0	0	0	299	4Q337	1	15	13	0	0	
4Q338	square	Hebrew?	Parchment	Hellenistic-Roman	Qumran, Cave 4	Other	2	0	0	0	0	0	300	4Q338	2	8	8	0	0	
4Q339	square	Aramaic	Parchment	Herodian	Qumran, Cave 4	Other	1	1	0	0	0	0	301	4Q339	1	64	43	0	0	
4Q34	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Scripture	11	11	11	11	11	11	875	4Q34	9	435	345	7	316	4Q34
4Q340	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Other	2	2	0	0	0	0	302	4Q340	1	41	36	0	0	
4Q341	excluded: Greek script	Hebrew	Parchment	Hellenistic-Roman	Qumran, Cave 4	Scribal Exercise	1	1	0	0	0	0	303	4Q341	1	149	144	0	0	
4Q342	square	Aramaic	Parchment	Herodian	Qumran, Cave 4	Alleged Qumran Documents	1	1	0	0	0	0	304	4Q342	1	39	33	0	0	
4Q343	excluded: Nabatean script	Nabatean	Parchment	Hasmonean	Qumran, Cave 4	Alleged Qumran Documents	4	3	2	2	2	2	305	4Q343	2	118	81	1	81	4Q343
4Q344	square	Aramaic	Parchment	Roman	Qumran, Cave 4	Alleged Qumran Documents	1	1	0	0	0	0	306	4Q344	1	82	53	0	0	
4Q345	square	Aramaic?	Parchment	Herodian	Qumran, Cave 4	Alleged Qumran Documents	2	1	0	0	0	0	307	4Q345	2	76	49	0	0	
4Q346	square	Aramaic?	Parchment		Qumran, Cave 4	Unidentified Text	8	8	6	6	6	5	308	4Q346	5	47	44	6	58	4Q346,4Q346a
4Q347	square	Aramaic	Papyrus	Hellenistic-Roman	Qumran, Cave 4	Alleged Qumran Documents	0	0	0	0	0	0	310	4Q347	1	28	17	0	0	
4Q348	square	Hebrew?	Parchment	Herodian	Qumran, Cave 4	Alleged Qumran Documents	2	1	0	0	0	0	311	4Q348	1	144	105	0	0	
4Q35	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Scripture	14	14	14	14	14	14	876	4Q35	8	1343	1190	6	1225	4Q35
4Q350	excluded: Greek script	Greek	Parchment	Hellenistic-Roman	Qumran, Cave 4	Other	1	0	0	0	0	0	1072		0	0	0	0	0	
4Q351	square	Aramaic	Parchment	Herodian	Qumran, Cave 4	Alleged Qumran Documents	1	1	0	0	0	0	312	4Q351	2	11	11	0	0	
4Q352	square	Hebrew?	Papyrus	Hellenistic-Roman	Qumran, Cave 4	Alleged Qumran Documents	0	0	0	0	0	0	313	4Q352	3	11	11	0	0	
4Q353	square	Aramaic?	Papyrus	Hellenistic-Roman	Qumran, Cave 4	Alleged Qumran Documents	0	0	0	0	0	0	315	4Q353	1	1	1	0	0	
4Q354	square	Aramaic?	Parchment	Hellenistic-Roman	Qumran, Cave 4	Alleged Qumran Documents	1	1	0	0	0	0	316	4Q354	1	0	0	0	0	
4Q355	square	Aramaic?	Parchment	Hellenistic-Roman	Qumran, Cave 4	Alleged Qumran Documents	2	0	0	0	0	0	1073		0	0	0	0	0	
4Q356	square	Aramaic?	Parchment	Hellenistic-Roman	Qumran, Cave 4	Alleged Qumran Documents	1	1	0	0	0	0	317	4Q356	1	11	7	0	0	
4Q357	square	Aramaic?	Parchment	Hellenistic-Roman	Qumran, Cave 4	Alleged Qumran Documents	1	1	0	0	0	0	318	4Q357	1	1	1	0	0	
4Q358	square	Hebrew?	Papyrus	Hellenistic-Roman	Qumran, Cave 4	Alleged Qumran Documents	0	0	0	0	0	0	319	4Q358	1	2	2	0	0	
4Q359	square	Hebrew?	Papyrus	Herodian	Qumran, Cave 4	Alleged Qumran Documents	0	0	0	0	0	0	320	4Q359	2	11	10	0	0	
4Q36	square	Hebrew	Parchment	Hasmonean	Qumran, Cave 4	Scripture	6	6	6	6	4	6	877	4Q36	7	328	241	7	328	4Q36
4Q360	square	Hebrew	Parchment		Qumran, Cave 4	Other	1	1	1	0	0	0	321	4Q360	3	25	25	0	0	
4Q363	excluded: Cryptic C script	Hebrew	Parchment	Hellenistic-Roman	Qumran, Cave 4	Unidentified Text	21	21	0	0	0	0	1076		0	0	0	0	0	
4Q364	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Parabiblical Texts?	98	98	96	96	88	96	323	4Q364	79	2724	2140	77	2710	4Q364
4Q365	square	Hebrew	Parchment		Qumran, Cave 4	Legal Texts?	74	71	65	65	58	60	324	4Q365	69	4495	3554	38	3840	4Q365,4Q365a
4Q366	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Parabiblical Texts?	5	5	5	5	4	5	326	4Q366	6	521	427	6	521	4Q366
4Q367	square	Hebrew	Parchment	Hasmonean	Qumran, Cave 4	Parabiblical Texts?	7	7	7	7	7	7	327	4Q367	4	442	358	4	442	4Q367
4Q368	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Parabiblical Texts	14	14	14	14	14	14	328	4Q368	11	721	518	10	636	4Q368
4Q369	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Poetical/Liturgical Texts	8	8	8	8	6	8	329	4Q369	10	558	491	8	547	4Q369
4Q37	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Scripture	38	38	14	14	13	14	878	4Q37	21	1025	790	15	830	4Q37
4Q370	square	Hebrew	Parchment	Hasmonean	Qumran, Cave 4	Parabiblical Texts	3	2	0	0	0	0	330	4Q370	2	487	433	0	0	
4Q371	square	Hebrew	Parchment	Hasmonean	Qumran, Cave 4	Parabiblical Texts	12	12	12	12	12	12	331	4Q371	10	276	233	10	276	4Q371
4Q372	square	Hebrew	Parchment	Hasmonean	Qumran, Cave 4	Poetical/Liturgical Texts	25	25	23	23	23	23	332	4Q372	26	1993	1774	20	1943	4Q372
4Q373	square	Hebrew	Parchment	Hasmonean	Qumran, Cave 4	Poetical/Liturgical Texts	2	2	2	2	2	2	333	4Q373	2	124	121	1	117	4Q373
4Q374	square	Hebrew	Parchment	Hasmonean	Qumran, Cave 4	Parabiblical Texts	17	17	17	17	15	17	334	4Q374	18	482	414	18	482	4Q374
4Q375	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Parabiblical Texts	2	2	1	1	0	1	335	4Q375	2	388	350	2	388	4Q375
4Q376	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Parabiblical Texts	1	1	1	1	0	1	336	4Q376	4	248	204	3	243	4Q376
4Q377	square	Hebrew	Parchment	Hasmonean	Qumran, Cave 4	Parabiblical Texts	4	3	4	4	4	4	337	4Q377	7	781	602	3	210	4Q377
4Q378	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Parabiblical Texts	29	29	28	28	21	28	338	4Q378	36	1231	1060	34	1140	4Q378
4Q379	square	Hebrew	Parchment	Hasmonean	Qumran, Cave 4	Parabiblical Texts	23	23	23	23	20	23	339	4Q379	44	1345	1037	24	700	4Q379
4Q38	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Scripture	17	17	17	17	17	5	879	4Q38	5	439	361	14	808	4Q38,4Q38a
4Q380	square	Hebrew	Parchment	Hasmonean	Qumran, Cave 4	Poetical/Liturgical Texts	8	8	7	7	4	7	340	4Q380	9	402	339	8	348	4Q380
4Q381	square	Hebrew	Parchment	Hasmonean	Qumran, Cave 4	Poetical/Liturgical Texts	98	98	91	88	86	88	341	4Q381	107	3938	3360	84	3424	4Q381
4Q382	square	Hebrew	Parchment	Hasmonean	Qumran, Cave 4	Parabiblical Texts	150	150	101	101	101	101	342	4Q382	154	1859	1170	101	1672	4Q382
4Q383	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Parabiblical Texts	5	5	5	5	5	5	343	4Q383	9	223	183	4	115	4Q383
4Q384	square	Hebrew	Papyrus	Herodian	Qumran, Cave 4	Parabiblical Texts	0	0	0	0	0	0	344	4Q384	31	316	208	0	0	
4Q385	square	Hebrew	Parchment		Qumran, Cave 4	Parabiblical Texts	62	62	41	41	41	8	345	4Q385	6	850	787	25	1939	4Q385,4Q385a,4Q385b
4Q386	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Parabiblical Texts	2	2	2	2	1	2	349	4Q386	5	482	457	4	478	4Q386
4Q387	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Parabiblical Texts	19	19	14	14	14	14	350	4Q387	8	875	768	6	594	4Q387
4Q388	square	Hebrew	Parchment		Qumran, Cave 4	Parabiblical Texts	17	17	10	10	8	4	352	4Q388	8	197	163	11	285	4Q388,4Q388a
4Q389	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Parabiblical Texts	21	21	18	18	13	18	354	4Q389	15	622	558	14	601	4Q389
4Q38b	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Scripture	1	1	0	0	0	0	881	4Q38b	1	37	20	0	0	
4Q38c	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Scripture	2	2	0	0	0	0	1610	4Q38c	2	36	31	0	0	
4Q38d	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Scripture	1	1	0	0	0	0	1611	4Q38d	1	41	32	0	0	
4Q39	square	Hebrew	Parchment	Hasmonean	Qumran, Cave 4	Scripture	9	9	9	9	7	9	882	4Q39	8	125	81	8	125	4Q39
4Q390	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Parabiblical Texts	10	10	9	9	9	9	355	4Q390	9	899	832	8	891	4Q390
4Q391	square	Hebrew	Papyrus	Hasmonean	Qumran, Cave 4	Parabiblical Texts	53	53	25	25	25	25	356	4Q391	78	979	719	25	286	4Q391
4Q392	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Poetical/Liturgical Texts	11	11	10	10	10	10	357	4Q392	8	580	433	7	577	4Q392
4Q393	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Poetical/Liturgical Texts	9	9	9	9	8	9	358	4Q393	9	637	499	9	637	4Q393
4Q394	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Calendrical Texts	18	17	16	16	6	16	359	4Q394	12	1164	908	8	740	4Q394
4Q395	square	Hebrew	Parchment	Herodian	Qumran, Cave 4	Legal Texts	3	3	0	0	0	0	360	4Q395	1	90	61	0	0	
